# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P13288	uniprotkb:Q01831	uniprotkb:Q777D1|intact:EBI-1630636|uniprotkb:P13288	uniprotkb:B4DIP3|uniprotkb:E9PH69|uniprotkb:Q53GT7|uniprotkb:Q96AX0|uniprotkb:E9PB96|ensembl:ENSP00000285021.8|intact:EBI-372610|uniprotkb:Q01831	psi-mi:kr2_ebvb9(display_short)|psi-mi:Serine/threonine-protein kinase BGLF4(display_long)|uniprotkb:BGLF4(orf name)	psi-mi:xpc_human(display_short)|psi-mi:DNA repair protein complementing XP-C cells(display_long)|uniprotkb:XPC(gene name)|uniprotkb:XPCC(gene name synonym)|uniprotkb:p125(gene name synonym)|uniprotkb:Xeroderma pigmentosum group C-complementing protein(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lu CC. et al.(2007)	intact:EBI-1990312|pubmed:18024891	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1632296	intact-miscore:0.64
uniprotkb:Q01831	uniprotkb:P13288	uniprotkb:B4DIP3|uniprotkb:E9PH69|uniprotkb:Q53GT7|uniprotkb:Q96AX0|uniprotkb:E9PB96|ensembl:ENSP00000285021.8|intact:EBI-372610|uniprotkb:Q01831	uniprotkb:Q777D1|intact:EBI-1630636|uniprotkb:P13288	psi-mi:xpc_human(display_short)|psi-mi:DNA repair protein complementing XP-C cells(display_long)|uniprotkb:XPC(gene name)|uniprotkb:XPCC(gene name synonym)|uniprotkb:p125(gene name synonym)|uniprotkb:Xeroderma pigmentosum group C-complementing protein(gene name synonym)	psi-mi:kr2_ebvb9(display_short)|psi-mi:Serine/threonine-protein kinase BGLF4(display_long)|uniprotkb:BGLF4(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Lu CC. et al.(2007)	intact:EBI-1990312|pubmed:18024891	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1632308	intact-miscore:0.64
uniprotkb:Q01831	uniprotkb:P13288	uniprotkb:B4DIP3|uniprotkb:E9PH69|uniprotkb:Q53GT7|uniprotkb:Q96AX0|uniprotkb:E9PB96|ensembl:ENSP00000285021.8|intact:EBI-372610|uniprotkb:Q01831	uniprotkb:Q777D1|intact:EBI-1630636|uniprotkb:P13288	psi-mi:xpc_human(display_short)|psi-mi:DNA repair protein complementing XP-C cells(display_long)|uniprotkb:XPC(gene name)|uniprotkb:XPCC(gene name synonym)|uniprotkb:p125(gene name synonym)|uniprotkb:Xeroderma pigmentosum group C-complementing protein(gene name synonym)	psi-mi:kr2_ebvb9(display_short)|psi-mi:Serine/threonine-protein kinase BGLF4(display_long)|uniprotkb:BGLF4(orf name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lu CC. et al.(2007)	intact:EBI-1990312|pubmed:18024891	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1632336	intact-miscore:0.64
uniprotkb:P13288	uniprotkb:Q01831	uniprotkb:Q777D1|intact:EBI-1630636|uniprotkb:P13288	uniprotkb:B4DIP3|uniprotkb:E9PH69|uniprotkb:Q53GT7|uniprotkb:Q96AX0|uniprotkb:E9PB96|ensembl:ENSP00000285021.8|intact:EBI-372610|uniprotkb:Q01831	psi-mi:kr2_ebvb9(display_short)|psi-mi:Serine/threonine-protein kinase BGLF4(display_long)|uniprotkb:BGLF4(orf name)	psi-mi:xpc_human(display_short)|psi-mi:DNA repair protein complementing XP-C cells(display_long)|uniprotkb:XPC(gene name)|uniprotkb:XPCC(gene name synonym)|uniprotkb:p125(gene name synonym)|uniprotkb:Xeroderma pigmentosum group C-complementing protein(gene name synonym)	psi-mi:"MI:0416"(fluorescence microscopy)	Lu CC. et al.(2007)	intact:EBI-1990312|pubmed:18024891	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1632369	intact-miscore:0.64
uniprotkb:Q01831	uniprotkb:P13288	uniprotkb:B4DIP3|uniprotkb:E9PH69|uniprotkb:Q53GT7|uniprotkb:Q96AX0|uniprotkb:E9PB96|ensembl:ENSP00000285021.8|intact:EBI-372610|uniprotkb:Q01831	uniprotkb:Q777D1|intact:EBI-1630636|uniprotkb:P13288	psi-mi:xpc_human(display_short)|psi-mi:DNA repair protein complementing XP-C cells(display_long)|uniprotkb:XPC(gene name)|uniprotkb:XPCC(gene name synonym)|uniprotkb:p125(gene name synonym)|uniprotkb:Xeroderma pigmentosum group C-complementing protein(gene name synonym)	psi-mi:kr2_ebvb9(display_short)|psi-mi:Serine/threonine-protein kinase BGLF4(display_long)|uniprotkb:BGLF4(orf name)	psi-mi:"MI:0416"(fluorescence microscopy)	Lu CC. et al.(2007)	intact:EBI-1990312|pubmed:18024891	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1632388	intact-miscore:0.64
uniprotkb:P13288	uniprotkb:Q01831	uniprotkb:Q777D1|intact:EBI-1630636|uniprotkb:P13288	uniprotkb:B4DIP3|uniprotkb:E9PH69|uniprotkb:Q53GT7|uniprotkb:Q96AX0|uniprotkb:E9PB96|ensembl:ENSP00000285021.8|intact:EBI-372610|uniprotkb:Q01831	psi-mi:kr2_ebvb9(display_short)|psi-mi:Serine/threonine-protein kinase BGLF4(display_long)|uniprotkb:BGLF4(orf name)	psi-mi:xpc_human(display_short)|psi-mi:DNA repair protein complementing XP-C cells(display_long)|uniprotkb:XPC(gene name)|uniprotkb:XPCC(gene name synonym)|uniprotkb:p125(gene name synonym)|uniprotkb:Xeroderma pigmentosum group C-complementing protein(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lu CC. et al.(2007)	intact:EBI-1990312|pubmed:18024891	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-1632406	intact-miscore:0.64
uniprotkb:Q03518	uniprotkb:P0C739	uniprotkb:Q16149|intact:EBI-780739|uniprotkb:Q96CP4|ensembl:ENSP00000346206.5|intact:EBI-747259|uniprotkb:Q03518	uniprotkb:Q04361|uniprotkb:Q8AZJ2|intact:EBI-9346744|uniprotkb:P0C739	psi-mi:tap1_human(display_short)|psi-mi:Antigen peptide transporter 1(display_long)|uniprotkb:TAP1(gene name)|uniprotkb:Really interesting new gene 4 protein(gene name synonym)|uniprotkb:Peptide transporter involved in antigen processing 1(gene name synonym)|uniprotkb:Peptide transporter PSF1(gene name synonym)|uniprotkb:Peptide supply factor 1(gene name synonym)|uniprotkb:ATP-binding cassette sub-family B member 2(gene name synonym)|uniprotkb:Peptide transporter TAP1(gene name synonym)|uniprotkb:Y3(gene name synonym)|uniprotkb:RING4(gene name synonym)|uniprotkb:PSF1(gene name synonym)|uniprotkb:ABCB2(gene name synonym)	psi-mi:bnl2a_ebvb9(display_short)|psi-mi:Protein BNLF2a(display_long)|uniprotkb:BNLF2a(orf name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Horst D. et al.(2009)	intact:EBI-9259692|pubmed:19201886|imex:IM-22337	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-9347588|imex:IM-22337-11	intact-miscore:0.67
uniprotkb:O15533	uniprotkb:P0C739	uniprotkb:O15210|uniprotkb:O15272|uniprotkb:Q5STJ8|uniprotkb:Q5STK6|uniprotkb:Q5STQ5|uniprotkb:Q5STQ6|uniprotkb:Q66K65|uniprotkb:Q96KK7|uniprotkb:Q9HAN8|uniprotkb:Q9UEE0|uniprotkb:Q9UEE4|uniprotkb:Q9UIZ6|uniprotkb:Q9Y6K2|uniprotkb:B2ZUA4|uniprotkb:E9PGM2|uniprotkb:B0V0A6|uniprotkb:A2AB91|uniprotkb:A2ABC0|uniprotkb:B0V003|ensembl:ENSP00000363700.3|ensembl:ENSP00000372543.4|ensembl:ENSP00000372684.4|ensembl:ENSP00000372685.2|ensembl:ENSP00000378546.3|ensembl:ENSP00000395701.2|ensembl:ENSP00000402087.1|ensembl:ENSP00000407195.2|intact:EBI-874801|uniprotkb:O15533	uniprotkb:Q04361|uniprotkb:Q8AZJ2|intact:EBI-9346744|uniprotkb:P0C739	psi-mi:tpsn_human(display_short)|psi-mi:Tapasin(display_long)|uniprotkb:TAPBP(gene name)|uniprotkb:TAPA(gene name synonym)|uniprotkb:NGS17(gene name synonym)|uniprotkb:NGS-17(gene name synonym)|uniprotkb:TAP-associated protein(gene name synonym)|uniprotkb:TAP-binding protein(gene name synonym)	psi-mi:bnl2a_ebvb9(display_short)|psi-mi:Protein BNLF2a(display_long)|uniprotkb:BNLF2a(orf name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Horst D. et al.(2009)	intact:EBI-9259692|pubmed:19201886|imex:IM-22337	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-9347594|imex:IM-22337-13	intact-miscore:0.62
uniprotkb:Q03519	uniprotkb:P0C739	uniprotkb:Q9UQ83|uniprotkb:O95410|uniprotkb:B0V2J8|uniprotkb:Q53FI6|uniprotkb:Q5HY71|uniprotkb:Q96PT8|ensembl:ENSP00000364032.3|ensembl:ENSP00000372599.4|ensembl:ENSP00000372726.4|ensembl:ENSP00000390013.2|ensembl:ENSP00000394101.2|ensembl:ENSP00000513722.1|ensembl:ENSP00000513733.1|intact:EBI-780781|uniprotkb:Q03519	uniprotkb:Q04361|uniprotkb:Q8AZJ2|intact:EBI-9346744|uniprotkb:P0C739	psi-mi:tap2_human(display_short)|psi-mi:Antigen peptide transporter 2(display_long)|uniprotkb:TAP2(gene name)|uniprotkb:Really interesting new gene 11 protein(gene name synonym)|uniprotkb:Y1(gene name synonym)|uniprotkb:RING11(gene name synonym)|uniprotkb:PSF2(gene name synonym)|uniprotkb:ABCB3(gene name synonym)|uniprotkb:Peptide transporter involved in antigen processing 2(gene name synonym)|uniprotkb:Peptide transporter PSF2(gene name synonym)|uniprotkb:Peptide supply factor 2(gene name synonym)|uniprotkb:Peptide transporter TAP2(gene name synonym)|uniprotkb:ATP-binding cassette sub-family B member 3(gene name synonym)	psi-mi:bnl2a_ebvb9(display_short)|psi-mi:Protein BNLF2a(display_long)|uniprotkb:BNLF2a(orf name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Horst D. et al.(2009)	intact:EBI-9259692|pubmed:19201886|imex:IM-22337	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0486"(UniProt)	intact:EBI-9347591|imex:IM-22337-12	intact-miscore:0.5
uniprotkb:P0C717	uniprotkb:P03220	uniprotkb:Q777F1|intact:EBI-9644994|uniprotkb:P0C717	uniprotkb:Q777D0|intact:EBI-9644820|uniprotkb:P03220	psi-mi:blrf2_ebva8(display_short)|psi-mi:Tegument protein BLRF2(display_long)|uniprotkb:BLRF2(orf name)	psi-mi:ul95_ebvb9(display_short)|psi-mi:Late gene expression regulator BGLF3(display_long)|uniprotkb:BGLF3(orf name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Fossum E. et al.(2009)	intact:EBI-9641810|pubmed:19730696|imex:IM-22949	taxid:82830(ebva8)|taxid:82830("Epstein-Barr virus (strain AG876) (HHV-4)")	taxid:10377(ebvb9)|taxid:10377("Epstein-Barr virus (strain B95-8) (HHV-4)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-9646207|imex:IM-22949-674	intact-miscore:0.4
