# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:O40917	uniprotkb:Q77UV9	intact:EBI-2608578|uniprotkb:O40917	uniprotkb:Q2HR88|intact:EBI-2608731|uniprotkb:Q77UV9	psi-mi:o40917_hhv8(display_short)|uniprotkb:HHV8GK18_gp08(orf name)|uniprotkb:ORF11(gene name)	psi-mi:q77uv9_hhv8(display_short)|uniprotkb:ORF45(gene name synonym)|uniprotkb:HHV8GK18_gp51(orf name)|uniprotkb:KIE-2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2608974|imex:IM-12215-69	intact-miscore:0.51
uniprotkb:Q98138	uniprotkb:Q77UV9	uniprotkb:Q2HRA5|intact:EBI-2608669|uniprotkb:Q98138	uniprotkb:Q2HR88|intact:EBI-2608731|uniprotkb:Q77UV9	psi-mi:q98138_hhv8(display_short)|uniprotkb:HHV8GK18_gp31(orf name)|uniprotkb:ORF27(gene name)	psi-mi:q77uv9_hhv8(display_short)|uniprotkb:ORF45(gene name synonym)|uniprotkb:HHV8GK18_gp51(orf name)|uniprotkb:KIE-2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2646562|imex:IM-12215-108	intact-miscore:0.4
uniprotkb:Q76RG4	uniprotkb:O40917	uniprotkb:Q2HR79|intact:EBI-2608592|uniprotkb:Q76RG4	intact:EBI-2608578|uniprotkb:O40917	psi-mi:q76rg4_hhv8(display_short)|uniprotkb:HHV8GK18_gp57(orf name)|uniprotkb:ORF53(gene name)	psi-mi:o40917_hhv8(display_short)|uniprotkb:HHV8GK18_gp08(orf name)|uniprotkb:ORF11(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2608932|imex:IM-12215-59	intact-miscore:0.51
uniprotkb:O40917	uniprotkb:D0UZT1	intact:EBI-2608578|uniprotkb:O40917	intact:EBI-2649381|uniprotkb:D0UZT1	psi-mi:o40917_hhv8(display_short)|uniprotkb:HHV8GK18_gp08(orf name)|uniprotkb:ORF11(gene name)	psi-mi:d0uzt1_hhv8(display_short)|uniprotkb:HHV8GK18_gp72(orf name)|uniprotkb:ORF64(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2649419|imex:IM-12215-115	intact-miscore:0.4
uniprotkb:Q76RG4	uniprotkb:Q98138	uniprotkb:Q2HR79|intact:EBI-2608592|uniprotkb:Q76RG4	uniprotkb:Q2HRA5|intact:EBI-2608669|uniprotkb:Q98138	psi-mi:q76rg4_hhv8(display_short)|uniprotkb:HHV8GK18_gp57(orf name)|uniprotkb:ORF53(gene name)	psi-mi:q98138_hhv8(display_short)|uniprotkb:HHV8GK18_gp31(orf name)|uniprotkb:ORF27(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2608958|imex:IM-12215-65	intact-miscore:0.51
uniprotkb:Q76RF6	uniprotkb:Q77UV9	uniprotkb:Q2HR66|intact:EBI-2608615|uniprotkb:Q76RF6	uniprotkb:Q2HR88|intact:EBI-2608731|uniprotkb:Q77UV9	psi-mi:q76rf6_hhv8(display_short)|uniprotkb:HHV8GK18_gp69(orf name)|uniprotkb:ORF62(gene name)	psi-mi:q77uv9_hhv8(display_short)|uniprotkb:ORF45(gene name synonym)|uniprotkb:HHV8GK18_gp51(orf name)|uniprotkb:KIE-2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2608970|imex:IM-12215-68	intact-miscore:0.51
uniprotkb:D0UZU4	uniprotkb:Q77UV9	intact:EBI-2608638|uniprotkb:D0UZU4	uniprotkb:Q2HR88|intact:EBI-2608731|uniprotkb:Q77UV9	psi-mi:d0uzu4_hhv8(display_short)|uniprotkb:HHV8GK18_gp86(orf name)|uniprotkb:ORF75(gene name)	psi-mi:q77uv9_hhv8(display_short)|uniprotkb:ORF45(gene name synonym)|uniprotkb:HHV8GK18_gp51(orf name)|uniprotkb:KIE-2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2608994|imex:IM-12215-74	intact-miscore:0.51
uniprotkb:Q77UV9	uniprotkb:Q76RG4	uniprotkb:Q2HR88|intact:EBI-2608731|uniprotkb:Q77UV9	uniprotkb:Q2HR79|intact:EBI-2608592|uniprotkb:Q76RG4	psi-mi:q77uv9_hhv8(display_short)|uniprotkb:ORF45(gene name synonym)|uniprotkb:HHV8GK18_gp51(orf name)|uniprotkb:KIE-2(gene name)	psi-mi:q76rg4_hhv8(display_short)|uniprotkb:HHV8GK18_gp57(orf name)|uniprotkb:ORF53(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2609002|imex:IM-12215-76	intact-miscore:0.51
uniprotkb:D0UZN7	uniprotkb:D0UZT1	uniprotkb:D0UZN7|intact:EBI-2649308	intact:EBI-2649381|uniprotkb:D0UZT1	psi-mi:d0uzn7_hhv8(display_short)|uniprotkb:ORF25(gene name)|uniprotkb:HHV8GK18_gp29(orf name)	psi-mi:d0uzt1_hhv8(display_short)|uniprotkb:HHV8GK18_gp72(orf name)|uniprotkb:ORF64(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2649389|imex:IM-12215-112	intact-miscore:0.4
uniprotkb:D0UZP5	uniprotkb:D0UZT1	uniprotkb:D0UZP5|intact:EBI-2649440	intact:EBI-2649381|uniprotkb:D0UZT1	psi-mi:d0uzp5_hhv8(display_short)|uniprotkb:ORF33(gene name)|uniprotkb:HHV8GK18_gp37(orf name)	psi-mi:d0uzt1_hhv8(display_short)|uniprotkb:HHV8GK18_gp72(orf name)|uniprotkb:ORF64(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2649444|imex:IM-12215-117	intact-miscore:0.4
uniprotkb:Q77UV9	uniprotkb:D0UZT1	uniprotkb:Q2HR88|intact:EBI-2608731|uniprotkb:Q77UV9	intact:EBI-2649381|uniprotkb:D0UZT1	psi-mi:q77uv9_hhv8(display_short)|uniprotkb:ORF45(gene name synonym)|uniprotkb:HHV8GK18_gp51(orf name)|uniprotkb:KIE-2(gene name)	psi-mi:d0uzt1_hhv8(display_short)|uniprotkb:HHV8GK18_gp72(orf name)|uniprotkb:ORF64(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2649450|imex:IM-12215-118	intact-miscore:0.4
uniprotkb:Q76RG7	uniprotkb:Q98138	uniprotkb:Q2HR86|intact:EBI-2608583|uniprotkb:Q76RG7	uniprotkb:Q2HRA5|intact:EBI-2608669|uniprotkb:Q98138	psi-mi:q76rg7_hhv8(display_short)|uniprotkb:ORF47(gene name synonym)|uniprotkb:HHV8GK18_gp49(orf name)|uniprotkb:ORF46(gene name)	psi-mi:q98138_hhv8(display_short)|uniprotkb:HHV8GK18_gp31(orf name)|uniprotkb:ORF27(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2608954|imex:IM-12215-64	intact-miscore:0.51
uniprotkb:Q77UV9	uniprotkb:Q76RG7	uniprotkb:Q2HR88|intact:EBI-2608731|uniprotkb:Q77UV9	uniprotkb:Q2HR86|intact:EBI-2608583|uniprotkb:Q76RG7	psi-mi:q77uv9_hhv8(display_short)|uniprotkb:ORF45(gene name synonym)|uniprotkb:HHV8GK18_gp51(orf name)|uniprotkb:KIE-2(gene name)	psi-mi:q76rg7_hhv8(display_short)|uniprotkb:ORF47(gene name synonym)|uniprotkb:HHV8GK18_gp49(orf name)|uniprotkb:ORF46(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2608998|imex:IM-12215-75	intact-miscore:0.51
uniprotkb:D0UZU4	uniprotkb:O40931	intact:EBI-2608638|uniprotkb:D0UZU4	uniprotkb:Q2HR93|intact:EBI-2608673|uniprotkb:O40931	psi-mi:d0uzu4_hhv8(display_short)|uniprotkb:HHV8GK18_gp86(orf name)|uniprotkb:ORF75(gene name)	psi-mi:o40931_hhv8(display_short)|uniprotkb:HHV8GK18_gp43(orf name)|uniprotkb:ORF39(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2609070|imex:IM-12215-93	intact-miscore:0.51
uniprotkb:D0UZU4	uniprotkb:Q76RG4	intact:EBI-2608638|uniprotkb:D0UZU4	uniprotkb:Q2HR79|intact:EBI-2608592|uniprotkb:Q76RG4	psi-mi:d0uzu4_hhv8(display_short)|uniprotkb:HHV8GK18_gp86(orf name)|uniprotkb:ORF75(gene name)	psi-mi:q76rg4_hhv8(display_short)|uniprotkb:HHV8GK18_gp57(orf name)|uniprotkb:ORF53(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozen R. et al.(2008)	intact:EBI-2637378|pubmed:18321973|imex:IM-12215	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	taxid:37296(hhv8)|taxid:37296("Human herpesvirus 8 (HHV-8)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-2609074|imex:IM-12215-94	intact-miscore:0.51
