# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q05086	uniprotkb:P06463	uniprotkb:P78355|uniprotkb:Q93066|uniprotkb:Q9UEP4|uniprotkb:Q9UEP5|uniprotkb:Q9UEP6|uniprotkb:Q9UEP7|uniprotkb:Q9UEP8|uniprotkb:Q9UEP9|uniprotkb:A8K8Z9|ensembl:ENSP00000497594.1|intact:EBI-954357|uniprotkb:Q05086	intact:EBI-1186926|uniprotkb:P06463	psi-mi:ube3a_human(display_short)|psi-mi:Ubiquitin-protein ligase E3A(display_long)|uniprotkb:UBE3A(gene name)|uniprotkb:HECT-type ubiquitin transferase E3A(gene name synonym)|uniprotkb:HPVE6A(gene name synonym)|uniprotkb:EPVE6AP(gene name synonym)|uniprotkb:E6AP(gene name synonym)|uniprotkb:Renal carcinoma antigen NY-REN-54(gene name synonym)|uniprotkb:Human papillomavirus E6-associated protein(gene name synonym)|uniprotkb:Oncogenic protein-associated protein E6-AP(gene name synonym)|uniprotkb:E6AP ubiquitin-protein ligase(gene name synonym)|MINT:UBE3A(author assigned name)	psi-mi:ve6_hpv18(display_short)|psi-mi:Protein E6(display_long)|uniprotkb:E6(gene name)|MINT:E6(author assigned name)	psi-mi:"MI:1203"(split luciferase complementation)	Neveu G. et al.(2012)	intact:EBI-12736076|doi:10.1016/j.ymeth.2012.07.029|pubmed:22898364|imex:IM-28562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-26503340|imex:IM-28562-189	intact-miscore:0.8
uniprotkb:P06463	uniprotkb:Q05086	intact:EBI-1186926|uniprotkb:P06463	uniprotkb:P78355|uniprotkb:Q93066|uniprotkb:Q9UEP4|uniprotkb:Q9UEP5|uniprotkb:Q9UEP6|uniprotkb:Q9UEP7|uniprotkb:Q9UEP8|uniprotkb:Q9UEP9|uniprotkb:A8K8Z9|ensembl:ENSP00000497594.1|intact:EBI-954357|uniprotkb:Q05086	psi-mi:ve6_hpv18(display_short)|psi-mi:Protein E6(display_long)|uniprotkb:E6(gene name)	psi-mi:ube3a_human(display_short)|psi-mi:Ubiquitin-protein ligase E3A(display_long)|uniprotkb:UBE3A(gene name)|uniprotkb:HECT-type ubiquitin transferase E3A(gene name synonym)|uniprotkb:HPVE6A(gene name synonym)|uniprotkb:EPVE6AP(gene name synonym)|uniprotkb:E6AP(gene name synonym)|uniprotkb:Renal carcinoma antigen NY-REN-54(gene name synonym)|uniprotkb:Human papillomavirus E6-associated protein(gene name synonym)|uniprotkb:Oncogenic protein-associated protein E6-AP(gene name synonym)|uniprotkb:E6AP ubiquitin-protein ligase(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-10917511|imex:IM-25307-101	intact-miscore:0.8
uniprotkb:P06463	uniprotkb:Q05086	intact:EBI-1186926|uniprotkb:P06463	uniprotkb:P78355|uniprotkb:Q93066|uniprotkb:Q9UEP4|uniprotkb:Q9UEP5|uniprotkb:Q9UEP6|uniprotkb:Q9UEP7|uniprotkb:Q9UEP8|uniprotkb:Q9UEP9|uniprotkb:A8K8Z9|ensembl:ENSP00000497594.1|intact:EBI-954357|uniprotkb:Q05086	psi-mi:ve6_hpv18(display_short)|psi-mi:Protein E6(display_long)|uniprotkb:E6(gene name)	psi-mi:ube3a_human(display_short)|psi-mi:Ubiquitin-protein ligase E3A(display_long)|uniprotkb:UBE3A(gene name)|uniprotkb:HECT-type ubiquitin transferase E3A(gene name synonym)|uniprotkb:HPVE6A(gene name synonym)|uniprotkb:EPVE6AP(gene name synonym)|uniprotkb:E6AP(gene name synonym)|uniprotkb:Renal carcinoma antigen NY-REN-54(gene name synonym)|uniprotkb:Human papillomavirus E6-associated protein(gene name synonym)|uniprotkb:Oncogenic protein-associated protein E6-AP(gene name synonym)|uniprotkb:E6AP ubiquitin-protein ligase(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11723983|psi-mi:"MI:0471"|imex:IM-25307-622	intact-miscore:0.8
uniprotkb:P06463	uniprotkb:Q05086	intact:EBI-1186926|uniprotkb:P06463	uniprotkb:P78355|uniprotkb:Q93066|uniprotkb:Q9UEP4|uniprotkb:Q9UEP5|uniprotkb:Q9UEP6|uniprotkb:Q9UEP7|uniprotkb:Q9UEP8|uniprotkb:Q9UEP9|uniprotkb:A8K8Z9|ensembl:ENSP00000497594.1|intact:EBI-954357|uniprotkb:Q05086	psi-mi:ve6_hpv18(display_short)|psi-mi:Protein E6(display_long)|uniprotkb:E6(gene name)	psi-mi:ube3a_human(display_short)|psi-mi:Ubiquitin-protein ligase E3A(display_long)|uniprotkb:UBE3A(gene name)|uniprotkb:HECT-type ubiquitin transferase E3A(gene name synonym)|uniprotkb:HPVE6A(gene name synonym)|uniprotkb:EPVE6AP(gene name synonym)|uniprotkb:E6AP(gene name synonym)|uniprotkb:Renal carcinoma antigen NY-REN-54(gene name synonym)|uniprotkb:Human papillomavirus E6-associated protein(gene name synonym)|uniprotkb:Oncogenic protein-associated protein E6-AP(gene name synonym)|uniprotkb:E6AP ubiquitin-protein ligase(gene name synonym)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724021|psi-mi:"MI:0471"|imex:IM-25307-583	intact-miscore:0.8
uniprotkb:Q05086	uniprotkb:P03126	uniprotkb:P78355|uniprotkb:Q93066|uniprotkb:Q9UEP4|uniprotkb:Q9UEP5|uniprotkb:Q9UEP6|uniprotkb:Q9UEP7|uniprotkb:Q9UEP8|uniprotkb:Q9UEP9|uniprotkb:A8K8Z9|ensembl:ENSP00000497594.1|intact:EBI-954357|uniprotkb:Q05086	uniprotkb:Q71BI7|intact:EBI-1177242|uniprotkb:P03126	psi-mi:ube3a_human(display_short)|psi-mi:Ubiquitin-protein ligase E3A(display_long)|uniprotkb:UBE3A(gene name)|uniprotkb:HECT-type ubiquitin transferase E3A(gene name synonym)|uniprotkb:HPVE6A(gene name synonym)|uniprotkb:EPVE6AP(gene name synonym)|uniprotkb:E6AP(gene name synonym)|uniprotkb:Renal carcinoma antigen NY-REN-54(gene name synonym)|uniprotkb:Human papillomavirus E6-associated protein(gene name synonym)|uniprotkb:Oncogenic protein-associated protein E6-AP(gene name synonym)|uniprotkb:E6AP ubiquitin-protein ligase(gene name synonym)|MINT:UBE3A(author assigned name)	psi-mi:ve6_hpv16(display_short)|psi-mi:Protein E6(display_long)|uniprotkb:E6(gene name)|MINT:E6(author assigned name)	psi-mi:"MI:1203"(split luciferase complementation)	Neveu G. et al.(2012)	intact:EBI-12736076|doi:10.1016/j.ymeth.2012.07.029|pubmed:22898364|imex:IM-28562	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333760(hpv16)|taxid:333760(Human papillomavirus type 16)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-26503060|imex:IM-28562-27	intact-miscore:0.95
uniprotkb:P03126	uniprotkb:Q05086	uniprotkb:Q71BI7|intact:EBI-1177242|uniprotkb:P03126	uniprotkb:P78355|uniprotkb:Q93066|uniprotkb:Q9UEP4|uniprotkb:Q9UEP5|uniprotkb:Q9UEP6|uniprotkb:Q9UEP7|uniprotkb:Q9UEP8|uniprotkb:Q9UEP9|uniprotkb:A8K8Z9|ensembl:ENSP00000497594.1|intact:EBI-954357|uniprotkb:Q05086	psi-mi:ve6_hpv16(display_short)|psi-mi:Protein E6(display_long)|uniprotkb:E6(gene name)	psi-mi:ube3a_human(display_short)|psi-mi:Ubiquitin-protein ligase E3A(display_long)|uniprotkb:UBE3A(gene name)|uniprotkb:HECT-type ubiquitin transferase E3A(gene name synonym)|uniprotkb:HPVE6A(gene name synonym)|uniprotkb:EPVE6AP(gene name synonym)|uniprotkb:E6AP(gene name synonym)|uniprotkb:Renal carcinoma antigen NY-REN-54(gene name synonym)|uniprotkb:Human papillomavirus E6-associated protein(gene name synonym)|uniprotkb:Oncogenic protein-associated protein E6-AP(gene name synonym)|uniprotkb:E6AP ubiquitin-protein ligase(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333760(hpv16)|taxid:333760(Human papillomavirus type 16)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-10917505|imex:IM-25307-565	intact-miscore:0.95
uniprotkb:P06792	uniprotkb:Q53FP2	intact:EBI-11724180|uniprotkb:P06792	uniprotkb:Q9H7Y3|ensembl:ENSP00000362021.4|intact:EBI-11722971|uniprotkb:Q53FP2	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:nacho_human(display_short)|psi-mi:Novel acetylcholine receptor chaperone(display_long)|uniprotkb:TMEM35(gene name synonym)|uniprotkb:NACHO(gene name synonym)|uniprotkb:TMEM35A(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:P06792	uniprotkb:Q5RI15	intact:EBI-11724180|uniprotkb:P06792	uniprotkb:Q8WV86|ensembl:ENSP00000406327.2|intact:EBI-2834035|uniprotkb:Q5RI15	psi-mi:ve5_hpv18(display_short)|psi-mi:Probable protein E5(display_long)|uniprotkb:E5(gene name)	psi-mi:cox20_human(display_short)|psi-mi:Cytochrome c oxidase assembly protein COX20, mitochondrial(display_long)|uniprotkb:FAM36A(gene name synonym)|uniprotkb:COX20(gene name)	psi-mi:"MI:0676"(tandem affinity purification)	Rozenblatt-Rosen O. et al.(2012)	intact:EBI-10824241|pubmed:22810586|doi:10.1038/nature11288|imex:IM-25307	taxid:333761(hpv18)|taxid:333761(Human papillomavirus type 18)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11724527|psi-mi:"MI:0471"|imex:IM-25307-624	intact-miscore:0.35
uniprotkb:O60885-1	uniprotkb:P03120	ensembl:ENSP00000263377.1|ensembl:ENSP00000506350.1|intact:EBI-9345088|uniprotkb:O60885-1	uniprotkb:Q71BI4|intact:EBI-1779322|uniprotkb:P03120	psi-mi:o60885-1(display_short)|psi-mi:Bromodomain-containing protein 4(display_long)|uniprotkb:Brd4L(isoform synonym)|uniprotkb:Long(isoform synonym)|uniprotkb:HUNK1(gene name synonym)|uniprotkb:Protein HUNK1(gene name synonym)|uniprotkb:Brd4(gene name)	psi-mi:ve2_hpv16(display_short)|psi-mi:Regulatory protein E2(display_long)|uniprotkb:E2(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Smith JA. et al.(2010)	intact:EBI-15830596|doi:10.1073/pnas.0914818107|pubmed:20133580|imex:IM-17412	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:333760(hpv16)|taxid:333760(Human papillomavirus type 16)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15830673|dip:DIP-77340E|imex:IM-17412-4	intact-miscore:0.5
uniprotkb:P03120	uniprotkb:O60885-1	uniprotkb:Q71BI4|intact:EBI-1779322|uniprotkb:P03120	ensembl:ENSP00000263377.1|ensembl:ENSP00000506350.1|intact:EBI-9345088|uniprotkb:O60885-1	psi-mi:ve2_hpv16(display_short)|psi-mi:Regulatory protein E2(display_long)|uniprotkb:E2(gene name)	psi-mi:o60885-1(display_short)|psi-mi:Bromodomain-containing protein 4(display_long)|uniprotkb:Brd4L(isoform synonym)|uniprotkb:Long(isoform synonym)|uniprotkb:HUNK1(gene name synonym)|uniprotkb:Protein HUNK1(gene name synonym)|uniprotkb:Brd4(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Smith JA. et al.(2010)	intact:EBI-15830596|doi:10.1073/pnas.0914818107|pubmed:20133580|imex:IM-17412	taxid:333760(hpv16)|taxid:333760(Human papillomavirus type 16)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-15830730|dip:DIP-188303E|imex:IM-17412-7	intact-miscore:0.5
