virusCode	viralUniprotID	hostUniprotID	viralGeneName	viralProteinName
EBVB9	P12978	Q06330	EBNA2	Epstein-Barr nuclear antigen 2
EBVB9	P03203	Q06330	EBNA4	Epstein-Barr nuclear antigen 4
EBVB9	P12977	Q06330	EBNA3	Epstein-Barr nuclear antigen 3
EBVB9	P03204	Q06330	EBNA6	Epstein-Barr nuclear antigen 6
EBVB9	P03230	Q92985-1	LMP1	Latent membrane protein 1
EBVB9	Q8AZK7	O75323	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q15773	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9HAV7	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O60812	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O95816	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	O60831	TK	Thymidine kinase
EBVB9	P03230	Q9UI14	LMP1	Latent membrane protein 1
EBVB9	Q8AZK7	O75953	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q14257	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9BPW8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P05165	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q7Z4N8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q86UA1	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O00165	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P05166	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q5W0B1	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	Q9Y305	TK	Thymidine kinase
EBVB9	P03177	Q16527	TK	Thymidine kinase
EBVB9	Q8AZK7	Q92522	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q13151	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q3ZCQ8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	O76031	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9ULX6	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q8TED1	LMP2	Latent membrane protein 2
EBVB9	P13285	O60831	LMP2	Latent membrane protein 2
EBVB9	P13285	Q9P0P0	LMP2	Latent membrane protein 2
EBVB9	Q8AZK7	Q8N726	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9UDY4	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q9Y2G8	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P03177	Q9NXH8	TK	Thymidine kinase
EBVB9	P03177	Q9UJ70	TK	Thymidine kinase
EBVB9	P03177	P35080	TK	Thymidine kinase
EBVB9	P03177	O75688	TK	Thymidine kinase
EBVB9	Q8AZK7	Q92616	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	P12236	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q99729	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	Q8AZK7	Q15293	EBNA-LP	Epstein-Barr nuclear antigen leader protein
EBVB9	P13285	Q8NC54	LMP2	Latent membrane protein 2
