?hostUniprotID	?hostProteinName	?pathwayKEGG
"Q06330"	"Recombining binding protein suppressor of hairless"	"path_hsa00010"
"O60812"	"Heterogeneous nuclear ribonucleoprotein C-like 1"	"path_hsa00030"
"O95816"	"BAG family molecular chaperone regulator 2"	"path_hsa00051"
"Q8TED1"	"Probable glutathione peroxidase 8"	"path_hsa00240"
"Q8TED1"	"Probable glutathione peroxidase 8"	"path_hsa00250"
"P35080"	"Profilin-2"	"path_hsa00330"
"P35080"	"Profilin-2"	"path_hsa00350"
"P35080"	"Profilin-2"	"path_hsa00380"
"P35080"	"Profilin-2"	"path_hsa00430"
"O75688"	"Protein phosphatase 1B"	"path_hsa00440"
"P12236"	"ADP/ATP translocase 3"	"path_hsa00480"
"P12236"	"ADP/ATP translocase 3"	"path_hsa00510"
"P12236"	"ADP/ATP translocase 3"	"path_hsa00512"
"P12236"	"ADP/ATP translocase 3"	"path_hsa00513"
"P47756"	"F-actin-capping protein subunit beta"	"path_hsa00562"
"O00483"	"Cytochrome c oxidase subunit NDUFA4"	"path_hsa00563"
"O00483"	"Cytochrome c oxidase subunit NDUFA4"	"path_hsa00564"
"O00483"	"Cytochrome c oxidase subunit NDUFA4"	"path_hsa00565"
"Q9Y5M8"	"Signal recognition particle receptor subunit beta"	"path_hsa00565"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00590"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00592"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00600"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00620"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00630"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00640"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00670"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00760"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00785"
"Q15628"	"Tumor necrosis factor receptor type 1-associated DEATH domain protein"	"path_hsa00830"
"P40938"	"Replication factor C subunit 3"	"path_hsa00860"
"P40938"	"Replication factor C subunit 3"	"path_hsa00900"
"Q04837"	"Single-stranded DNA-binding protein, mitochondrial"	"path_hsa00970"
"O43592"	"Exportin-T"	"path_hsa00983"
"Q9BQB6"	"Vitamin K epoxide reductase complex subunit 1"	"path_hsa01040"
"Q9Y6N5"	"\"Sulfide:quinone oxidoreductase, mitochondrial\""	"path_hsa01040"
"Q15629"	"Translocating chain-associated membrane protein 1"	"path_hsa01100"
"P56524"	"Histone deacetylase 4"	"path_hsa01100"
"P00367"	"Glutamate dehydrogenase 1, mitochondrial"	"path_hsa01100"
"Q07955"	"Serine/arginine-rich splicing factor 1"	"path_hsa01100"
"P08579"	"U2 small nuclear ribonucleoprotein B''"	"path_hsa01100"
"P52907"	"F-actin-capping protein subunit alpha-1"	"path_hsa01100"
"Q15012"	"Lysosomal-associated transmembrane protein 4A"	"path_hsa01100"
"P27352"	"Cobalamin binding intrinsic factor"	"path_hsa01100"
"P50402"	"Emerin"	"path_hsa01100"
"Q9NYJ8"	"TGF-beta-activated kinase 1 and MAP3K7-binding protein 2"	"path_hsa01100"
"Q9Y676"	"Small ribosomal subunit protein mS40"	"path_hsa01100"
"P08962"	"CD63 antigen"	"path_hsa01100"
"P30050"	"Large ribosomal subunit protein uL11"	"path_hsa01100"
