?hostProtein	?hostProteinName	?pathway	?pathwayName
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Human papillomavirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Notch signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Spinocerebellar ataxia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Th1 and Th2 cell differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"@en	<path:hsa00010>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Human papillomavirus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Notch signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Spinocerebellar ataxia - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Th1 and Th2 cell differentiation - Homo sapiens (human)"@en
<http://localhost:8080/source/Q06330>	"Recombining binding protein suppressor of hairless"	<path:hsa00010>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Epstein-Barr virus infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Viral carcinogenesis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Spliceosome - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Protein processing in endoplasmic reticulum - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Shigellosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Salmonella infection - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"MAPK signaling pathway - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Necroptosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Neutrophil extracellular trap formation - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Influenza A - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"Endocytosis - Homo sapiens (human)"@en
<http://localhost:8080/source/P56524>	"Histone deacetylase 4"@en	<path:hsa01100>	"NF-kappa B signaling pathway - Homo sapiens (human)"@en
