ConceptID	Word-en	Gloss-en
UKC-6543	Virus	Ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein.
UKC-24644	Vaccine	Immunogen consisting of a suspension of weakened or dead pathogenic cells injected in order to stimulate the production of antibodies.
UKC-26778	Phenotype	What an organism looks like as a consequence of the interaction of its genotype and the environment.
UKC-67961	Cancer	Any malignant growth or tumor caused by abnormal and uncontrolled cell division; it may spread to other parts of the body through the lymphatic system or the blood stream.
http://purl.obolibrary.org/obo/COMO_0000067	ProteinAnnotation	Additional information and metadata on proteins.
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C17254	ViralProtein	Proteins encoded by viral genes.
http://purl.obolibrary.org/obo/IDOMAL_0001068	HostProtein	A protein that is produced by a host.
http://www.biopax.org/release/biopax-level3.owl#Pathway	Pathway	"A set or series of interactions, often forming a network, which biologists have found useful to group together for organizational, historic, biophysical or other reasons. Usage: Pathways can be used for demarcating any subnetwork of a BioPAX model. It is also possible to define a pathway without specifying the interactions within the pathway. In this case, the pathway instance could consist simply of a name and could be treated as a 'black box'. Pathways can overlap, i.e. a single interaction might belong to multiple pathways. Pathways can also contain sub-pathways. Synonyms: network, module, cascade, Examples: glycolysis, valine biosynthesis, EGFR signaling."
UKC-695	localization	A determination of the place where something is.
UKC-6810	host	An animal or plant that nourishes and supports a parasite; it does not benefit and is often harmed by the association.
UKC-105757	function	"Serve a purpose, role, or function."
http://edamontology.org/data_2909	organismName	The name of an organism (or group of organisms).
http://edamontology.org/data_1045	species	The name of a species (typically a taxonomic group) of organism.
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85496	trait	Any genetically determined characteristic.
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164895	pathwayName	Name of the biological pathway.
http://edamontology.org/data_2343	pathwayKeggID	Identifier of a pathway from the KEGG pathway database.
http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C164893	pathwayDescription	A brief explanation of what a pathway does or represents.
http://sbmi.uth.tmc.edu/ontology/ochv#C0449695	primarySite	Primary Site / Anatomical site or primary location associated with the cancer type.
http://edamontology.org/data_2592	cancerType	A type (represented as a string) of cancer.
http://purl.bioontology.org/ontology/SNOMEDCT/277234002	virusType	Describes the category or classification of a virus.
OKG25-01	virusCode	Unique identifier assigned to a virus.
OKG25-02	cancerID	Unique identifier for the cancer record.
OKG25-03	vaccineID	Unique identifier for the vaccine record.
OKG25-04	vaccineName	The official or common name of a vaccine.
OKG25-05	vaccineDescription	A brief explanation of what the vaccine does and what it targets or prevents.
OKG25-06	vaccineSource	"The origin, database, or reference from which vaccine information is obtained."
OKG25-07	phenotypeID	Unique identifier for the virus phenotype record.
OKG25-08	phenotypeSource	The source or reference documenting the described phenotype.
OKG25-09	pathwayCategory	The broad functional class or grouping of a biological pathway.
OKG25-10	pathwaySource	"The origin, database, or reference providing the pathway information."
OKG25-11	viralUniprotID	Unique Uniprot Reference to the viral protein.
OKG25-12	hostUniprotID	Unique Uniprot Reference to the host protein.
OKG25-13	viralGeneName	Standard name assigned to a viral gene.
OKG25-14	hostGeneName	Standard name assigned to a host gene.
OKG25-15	viralProteinName	Official or common name of a viral protein.
OKG25-16	hostProteinName	Official or common name of a host protein.
OKG25-17	proteinAnnotationID	Unique identifier for the protein annotation record.
UKC-98182	targets	Intend (something) to move towards a certain goal.
UKC-100755	causes	"Give rise to; cause to happen or occur, not always intentionally."
OKG25-18	involvedIn	"Indicates that an entity participates in, contributes to, or plays a role within a process, event, pathway, or higher-level activity. The relationship is generally directional, linking the participating entity (subject) to the broader process or context (object)."
OKG25-19	interactsWith	"Denotes that two entities engage in a direct or measurable interaction, influencing each other's state, function, or behavior. This relationship is typically symmetric, reflecting mutual participation in the interaction."
OKG25-20	hasAnnotation	Links an entity to a descriptive annotation or metadata.
OKG25-21	hasPhenotype	"Links an entity to an observed trait, characteristic, or phenotype."
OKG25-22	encodes	"Represents that a genetic element (such as a gene, transcript, or genomic region) of an organism specifies the sequence or structure of a functional product, typically a protein or RNA molecule. The relationship links the genetic source (subject) to the resulting biological product (object)."
