ID	ProteinID	Function 	Localization
1	P08195	Acts as a chaperone that facilitates biogenesis and trafficking of functional transporters heterodimers to the plasma membrane. Forms heterodimer with SLC7 family transporters (SLC7A5, SLC7A6, SLC7A7, SLC7A8, SLC7A10 and SLC7A11), a group of amino-acid antiporters (PubMed:10574970, PubMed:10903140, PubMed:11557028, PubMed:30867591, PubMed:33298890, PubMed:33758168, PubMed:34880232, PubMed:9751058, PubMed:9829974, PubMed:9878049). Heterodimers function as amino acids exchangers, the specificity of the substrate depending on the SLC7A subunit. Heterodimers SLC3A2/SLC7A6 or SLC3A2/SLC7A7 mediate the uptake of dibasic amino acids (PubMed:10903140, PubMed:9829974). Heterodimer SLC3A2/SLC7A11 functions as an antiporter by mediating the exchange of extracellular anionic L-cystine and intracellular L-glutamate across the cellular plasma membrane (PubMed:34880232). SLC3A2/SLC7A10 translocates small neutral L- and D-amino acids across the plasma membrane (By similarity). SLC3A2/SLC75 or SLC3A2/SLC7A8 translocates neutral amino acids with broad specificity, thyroid hormones and L-DOPA (PubMed:10574970, PubMed:11389679, PubMed:11557028, PubMed:11564694, PubMed:11742812, PubMed:12117417, PubMed:12225859, PubMed:12716892, PubMed:15980244, PubMed:30867591, PubMed:33298890, PubMed:33758168). SLC3A2 is essential for plasma membrane localization, stability, and the transport activity of SLC7A5 and SLC7A8 (PubMed:10391915, PubMed:10574970, PubMed:11311135, PubMed:15769744, PubMed:33066406). When associated with LAPTM4B, the heterodimer SLC7A5 is recruited to lysosomes to promote leucine uptake into these organelles, and thereby mediates mTORC1 activation (PubMed:25998567). Modulates integrin-related signaling and is essential for integrin-dependent cell spreading, migration and tumor progression (PubMed:11121428, PubMed:15625115)	Apical cell membrane
2	O60494	Endocytic receptor which plays a role in lipoprotein, vitamin and iron metabolism by facilitating their uptake (PubMed:10371504, PubMed:11606717, PubMed:11717447, PubMed:14576052, PubMed:9572993). Acts together with LRP2 to mediate endocytosis of high-density lipoproteins, GC, hemoglobin, ALB, TF and SCGB1A1. Acts together with AMN to mediate endocytosis of the CBLIF-cobalamin complex (PubMed:14576052, PubMed:9572993). Binds to ALB, MB, Kappa and lambda-light chains, TF, hemoglobin, GC, SCGB1A1, APOA1, high density lipoprotein, and the CBLIF-cobalamin complex. Ligand binding requires calcium (PubMed:9572993). Serves as important transporter in several absorptive epithelia, including intestine, renal proximal tubules and embryonic yolk sac. May play an important role in the development of the peri-implantation embryo through internalization of APOA1 and cholesterol. Binds to LGALS3 at the maternal-fetal interface	Apical cell membrane
3	Q96BI1	May act as a transporter of organic cations based on a proton efflux antiport mechanism. May play a role in the transport of chloroquine and quinidine-related compounds in kidney (PubMed:9744804). Plays a role in the regulation of lipid metabolism (By similarity)	Apical cell membrane
4	P04920	Sodium-independent anion exchanger which mediates the electroneutral exchange of chloride for bicarbonate ions across the cell membrane (PubMed:15184086, PubMed:34668226). Plays an important role in osteoclast differentiation and function (PubMed:34668226). Regulates bone resorption and calpain-dependent actin cytoskeleton organization in osteoclasts via anion exchange-dependent control of pH (By similarity). Essential for intracellular pH regulation in CD8(+) T-cells upon CD3 stimulation, modulating CD8(+) T-cell responses (By similarity)	Apical cell membrane
5	Q01650	The heterodimer with SLC3A2 functions as a sodium-independent, high-affinity transporter that mediates uptake of large neutral amino acids such as phenylalanine, tyrosine, leucine, histidine, methionine, tryptophan, valine, isoleucine and alanine (PubMed:10049700, PubMed:10574970, PubMed:11557028, PubMed:11564694, PubMed:12117417, PubMed:12225859, PubMed:15769744, PubMed:18262359, PubMed:25998567, PubMed:30867591, PubMed:9751058). The heterodimer with SLC3A2 mediates the uptake of L-DOPA (By similarity). Functions as an amino acid exchanger (PubMed:11557028, PubMed:12117417, PubMed:12225859, PubMed:30867591). May play a role in the transport of L-DOPA across the blood-brain barrier (By similarity). May act as the major transporter of tyrosine in fibroblasts (Probable). May mediate blood-to-retina L-leucine transport across the inner blood-retinal barrier (By similarity). Can mediate the transport of thyroid hormones diiodothyronine (T2), triiodothyronine (T3) and thyroxine (T4) across the cell membrane (PubMed:11564694). When associated with LAPTM4B, the heterodimer formed by SLC3A2 and SLC7A5 is recruited to lysosomes to promote leucine uptake into these organelles, and thereby mediates mTORC1 activation (PubMed:25998567). Involved in the uptake of toxic methylmercury (MeHg) when administered as the L-cysteine or D,L-homocysteine complexes (PubMed:12117417). Involved in the cellular activity of small molecular weight nitrosothiols, via the stereoselective transport of L-nitrosocysteine (L-CNSO) across the membrane (PubMed:15769744)	Apical cell membrane
6	O15439	ATP-dependent transporter of the ATP-binding cassette (ABC) family that actively extrudes physiological compounds and xenobiotics from cells. Transports a range of endogenous molecules that have a key role in cellular communication and signaling, including cyclic nucleotides such as cyclic AMP (cAMP) and cyclic GMP (cGMP), bile acids, steroid conjugates, urate, and prostaglandins (PubMed:11856762, PubMed:12523936, PubMed:12835412, PubMed:12883481, PubMed:15364914, PubMed:15454390, PubMed:16282361, PubMed:17959747, PubMed:18300232, PubMed:26721430). Mediates the ATP-dependent efflux of glutathione conjugates such as leukotriene C4 (LTC4) and leukotriene B4 (LTB4) too. The presence of GSH is necessary for the ATP-dependent transport of LTB4, whereas GSH is not required for the transport of LTC4 (PubMed:17959747). Mediates the cotransport of bile acids with reduced glutathione (GSH) (PubMed:12523936, PubMed:12883481, PubMed:16282361). Transports a wide range of drugs and their metabolites, including anticancer, antiviral and antibiotics molecules (PubMed:11856762, PubMed:12105214, PubMed:15454390, PubMed:17344354, PubMed:18300232). Confers resistance to anticancer agents such as methotrexate (PubMed:11106685)	Basolateral cell membrane
7	O60716	Key regulator of cell-cell adhesion that associates with and regulates the cell adhesion properties of both C-, E- and N-cadherins, being critical for their surface stability (PubMed:14610055, PubMed:20371349). Promotes localization and retention of DSG3 at cell-cell junctions, via its interaction with DSG3 (PubMed:18343367). Beside cell-cell adhesion, regulates gene transcription through several transcription factors including ZBTB33/Kaiso2 and GLIS2, and the activity of Rho family GTPases and downstream cytoskeletal dynamics (PubMed:10207085, PubMed:20371349). Implicated both in cell transformation by SRC and in ligand-induced receptor signaling through the EGF, PDGF, CSF-1 and ERBB2 receptors (PubMed:17344476)	Cell junction, adherens junction
8	Q96QZ7	Plays a role in coupling actin fibers to cell junctions in endothelial cells, via its interaction with AMOTL2 and CDH5 (By similarity). May regulate acid-induced ASIC3 currents by modulating its expression at the cell surface (By similarity)	Cell junction, tight junction
9	Q96J02	Acts as an Acts as an E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates (PubMed:11046148, PubMed:14602072, PubMed:15051726, PubMed:16387660, PubMed:17028573, PubMed:18718448, PubMed:18718449, PubMed:19116316, PubMed:19592251, PubMed:19881509, PubMed:20068034, PubMed:20392206, PubMed:20491914, PubMed:23146885, PubMed:24790097, PubMed:25631046). Catalyzes 'Lys-29'-, 'Lys-48'- and 'Lys-63'-linked ubiquitin conjugation (PubMed:17028573, PubMed:18718448, PubMed:19131965, PubMed:19881509). Involved in the control of inflammatory signaling pathways (PubMed:19131965). Essential component of a ubiquitin-editing protein complex, comprising also TNFAIP3, TAX1BP1 and RNF11, that ensures the transient nature of inflammatory signaling pathways (PubMed:19131965). Promotes the association of the complex after TNF stimulation (PubMed:19131965). Once the complex is formed, TNFAIP3 deubiquitinates 'Lys-63' polyubiquitin chains on RIPK1 and catalyzes the formation of 'Lys-48'-polyubiquitin chains (PubMed:19131965). This leads to RIPK1 proteasomal degradation and consequently termination of the TNF- or LPS-mediated activation of NFKB1 (PubMed:19131965). Ubiquitinates RIPK2 by 'Lys-63'-linked conjugation and influences NOD2-dependent signal transduction pathways (PubMed:19592251). Regulates the transcriptional activity of several transcription factors, and probably plays an important role in the regulation of immune response (PubMed:18718448, PubMed:20491914). Ubiquitinates NFE2 by 'Lys-63' linkages and is implicated in the control of the development of hematopoietic lineages (PubMed:18718448). Mediates JUN ubiquitination and degradation (By similarity). Mediates JUNB ubiquitination and degradation (PubMed:16387660). Critical regulator of type 2 helper T (Th2) cell cytokine production by inducing JUNB ubiquitination and degradation (By similarity). Involved in the negative regulation of MAVS-dependent cellular antiviral responses (PubMed:19881509). Ubiquitinates MAVS through 'Lys-48'-linked conjugation resulting in MAVS proteasomal degradation (PubMed:19881509). Following ligand stimulation, regulates sorting of Wnt receptor FZD4 to the degradative endocytic pathway probably by modulating PI42KA activity (PubMed:23146885). Ubiquitinates PI4K2A and negatively regulates its catalytic activity (PubMed:23146885). Ubiquitinates chemokine receptor CXCR4 and regulates sorting of CXCR4 to the degradative endocytic pathway following ligand stimulation by ubiquitinating endosomal sorting complex required for transport ESCRT-0 components HGS and STAM (PubMed:14602072, PubMed:23146885, PubMed:34927784). Targets DTX1 for lysosomal degradation and controls NOTCH1 degradation, in the absence of ligand, through 'Lys-29'-linked polyubiquitination (PubMed:17028573, PubMed:18628966, PubMed:23886940). Ubiquitinates SNX9 (PubMed:20491914). Ubiquitinates MAP3K7 through 'Lys-48'-linked conjugation (By similarity). Together with UBR5, involved in the regulation of apoptosis and reactive oxygen species levels through the ubiquitination and proteasomal degradation of TXNIP: catalyzes 'Lys-48'-/'Lys-63'-branched ubiquitination of TXNIP (PubMed:20068034, PubMed:29378950). ITCH synthesizes 'Lys-63'-linked chains, while UBR5 is branching multiple 'Lys-48'-linked chains of substrate initially modified (PubMed:29378950). Mediates the antiapoptotic activity of epidermal growth factor through the ubiquitination and proteasomal degradation of p15 BID (PubMed:20392206). Ubiquitinates BRAT1 and this ubiquitination is enhanced in the presence of NDFIP1 (PubMed:25631046). Inhibits the replication of influenza A virus (IAV) via ubiquitination of IAV matrix protein 1 (M1) through 'Lys-48'-linked conjugation resulting in M1 proteasomal degradation (PubMed:30328013). Ubiquitinates NEDD9/HEF1, resulting in proteasomal degradation of NEDD9/HEF1 (PubMed:15051726)	Cell membrane
10	Q9Y653	Adhesion G-protein coupled receptor (aGPCR) for steroid hormone 17alpha-hydroxypregnenolone (17-OH), which is involved in cell adhesion and cell-cell interactions (PubMed:39389061). Ligand binding causes a conformation change that triggers signaling via guanine nucleotide-binding proteins (G proteins) and modulates the activity of downstream effectors, such as RhoA pathway (PubMed:28874577, PubMed:35418682, PubMed:39389061). ADGRG1 is coupled to G(12) and/or G(13) G proteins (GNA12 and GNA13, respectively) and mediates the activation Rho small GTPases (PubMed:22238662, PubMed:28424266, PubMed:35418682, PubMed:39389061). Acts as a potent suppressor of ferroptosis: binding to 17-OH-binding initiates signaling that down-regulates CD36 and alleviates ferroptosis-induced liver injury (By similarity). Ligand-binding also induces cell adhesion activity via association with proteins such as collagen III/COL3A1 and TGM2 (By similarity). Mediates cell matrix adhesion in developing neurons and hematopoietic stem cells (By similarity). Involved in cortical development, specifically in maintenance of the pial basement membrane integrity and in cortical lamination: association with COL3A1 in the developing brain inhibits neuronal migration via activation of the RhoA pathway (PubMed:24531968). Together with TGM2, acts as a regulator of myelination and myelin repair in oligodendrocyte precursor cells (By similarity). Acts as a hemostatic sensor of shear force: G protein-coupled receptor signaling is activated in response to shear force in platelets, promoting G(13) G protein signaling, and platelet shape change and aggregation in a COL3A1-dependent manner (PubMed:33097663). Acts as an inhibitor of VEGFA production thereby inhibiting angiogenesis through a signaling pathway mediated by PRKCA (PubMed:16757564, PubMed:19572147, PubMed:21724588). Plays a role in the maintenance of hematopoietic stem cells in bone marrow niche (By similarity). Plays an essential role in testis development (By similarity)	Cell membrane
