# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:Q9GZX7	uniprotkb:Q784Z8	uniprotkb:Q8NFC1|uniprotkb:Q6QJ81|ensembl:ENSP00000229335.6|intact:EBI-3834328|uniprotkb:Q9GZX7	intact:EBI-11666471|uniprotkb:Q784Z8	psi-mi:aicda_human(display_short)|psi-mi:Single-stranded DNA cytosine deaminase(display_long)|uniprotkb:AICDA(gene name)|uniprotkb:Activation-induced cytidine deaminase(gene name synonym)|uniprotkb:Cytidine aminohydrolase(gene name synonym)|uniprotkb:AID(gene name synonym)	psi-mi:q784z8_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:core(gene name synonym)|uniprotkb:preC(gene name synonym)|uniprotkb:HBVgp4(orf name)|uniprotkb:c(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:p21.5(gene name synonym)|uniprotkb:C(gene name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Qiao Y. et al.(2016)	intact:EBI-11666452|pubmed:26867650|imex:IM-25066	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11666483|imex:IM-25066-1	intact-miscore:0.52
uniprotkb:Q9GZX7	uniprotkb:Q784Z8	uniprotkb:Q8NFC1|uniprotkb:Q6QJ81|ensembl:ENSP00000229335.6|intact:EBI-3834328|uniprotkb:Q9GZX7	intact:EBI-11666471|uniprotkb:Q784Z8	psi-mi:aicda_human(display_short)|psi-mi:Single-stranded DNA cytosine deaminase(display_long)|uniprotkb:AICDA(gene name)|uniprotkb:Activation-induced cytidine deaminase(gene name synonym)|uniprotkb:Cytidine aminohydrolase(gene name synonym)|uniprotkb:AID(gene name synonym)	psi-mi:q784z8_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:core(gene name synonym)|uniprotkb:preC(gene name synonym)|uniprotkb:HBVgp4(orf name)|uniprotkb:c(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:p21.5(gene name synonym)|uniprotkb:C(gene name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Qiao Y. et al.(2016)	intact:EBI-11666452|pubmed:26867650|imex:IM-25066	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11666501|imex:IM-25066-3	intact-miscore:0.52
uniprotkb:Q784Z8	uniprotkb:P31941	intact:EBI-11666471|uniprotkb:Q784Z8	ensembl:ENSP00000249116.2|ensembl:ENSP00000384359.1|ensembl:ENSP00000461288.1|ensembl:ENSP00000485234.1|uniprotkb:A0AVM1|uniprotkb:Q12807|uniprotkb:Q5JZ93|uniprotkb:Q9UH18|intact:EBI-13050366|uniprotkb:P31941	psi-mi:q784z8_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:core(gene name synonym)|uniprotkb:preC(gene name synonym)|uniprotkb:HBVgp4(orf name)|uniprotkb:c(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:p21.5(gene name synonym)|uniprotkb:C(gene name)	psi-mi:abc3a_human(display_short)|psi-mi:DNA dC->dU-editing enzyme APOBEC-3A(display_long)|uniprotkb:APOBEC3A(gene name)|uniprotkb:Phorbolin-1(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Lucifora J. et al.(2014)	intact:EBI-16093508|doi:10.1126/science.1243462|pubmed:24557838|imex:IM-24120	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16093527|dip:DIP-198648E|imex:IM-24120-1	intact-miscore:0.56
uniprotkb:Q784Z8	uniprotkb:P31941	intact:EBI-11666471|uniprotkb:Q784Z8	ensembl:ENSP00000249116.2|ensembl:ENSP00000384359.1|ensembl:ENSP00000461288.1|ensembl:ENSP00000485234.1|uniprotkb:A0AVM1|uniprotkb:Q12807|uniprotkb:Q5JZ93|uniprotkb:Q9UH18|intact:EBI-13050366|uniprotkb:P31941	psi-mi:q784z8_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:core(gene name synonym)|uniprotkb:preC(gene name synonym)|uniprotkb:HBVgp4(orf name)|uniprotkb:c(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:p21.5(gene name synonym)|uniprotkb:C(gene name)	psi-mi:abc3a_human(display_short)|psi-mi:DNA dC->dU-editing enzyme APOBEC-3A(display_long)|uniprotkb:APOBEC3A(gene name)|uniprotkb:Phorbolin-1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lucifora J. et al.(2014)	intact:EBI-16093508|doi:10.1126/science.1243462|pubmed:24557838|imex:IM-24120	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16093571|dip:DIP-198648E|imex:IM-24120-3	intact-miscore:0.56
uniprotkb:Q784Z8	uniprotkb:P31941	intact:EBI-11666471|uniprotkb:Q784Z8	ensembl:ENSP00000249116.2|ensembl:ENSP00000384359.1|ensembl:ENSP00000461288.1|ensembl:ENSP00000485234.1|uniprotkb:A0AVM1|uniprotkb:Q12807|uniprotkb:Q5JZ93|uniprotkb:Q9UH18|intact:EBI-13050366|uniprotkb:P31941	psi-mi:q784z8_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:core(gene name synonym)|uniprotkb:preC(gene name synonym)|uniprotkb:HBVgp4(orf name)|uniprotkb:c(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:p21.5(gene name synonym)|uniprotkb:C(gene name)	psi-mi:abc3a_human(display_short)|psi-mi:DNA dC->dU-editing enzyme APOBEC-3A(display_long)|uniprotkb:APOBEC3A(gene name)|uniprotkb:Phorbolin-1(gene name synonym)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Lucifora J. et al.(2014)	intact:EBI-16093508|doi:10.1126/science.1243462|pubmed:24557838|imex:IM-24120	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16093588|dip:DIP-198648E|imex:IM-24120-4	intact-miscore:0.56
uniprotkb:Q784Z8	uniprotkb:P31941	intact:EBI-11666471|uniprotkb:Q784Z8	ensembl:ENSP00000249116.2|ensembl:ENSP00000384359.1|ensembl:ENSP00000461288.1|ensembl:ENSP00000485234.1|uniprotkb:A0AVM1|uniprotkb:Q12807|uniprotkb:Q5JZ93|uniprotkb:Q9UH18|intact:EBI-13050366|uniprotkb:P31941	psi-mi:q784z8_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:core(gene name synonym)|uniprotkb:preC(gene name synonym)|uniprotkb:HBVgp4(orf name)|uniprotkb:c(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:p21.5(gene name synonym)|uniprotkb:C(gene name)	psi-mi:abc3a_human(display_short)|psi-mi:DNA dC->dU-editing enzyme APOBEC-3A(display_long)|uniprotkb:APOBEC3A(gene name)|uniprotkb:Phorbolin-1(gene name synonym)	psi-mi:"MI:0055"(fluorescent resonance energy transfer)	Lucifora J. et al.(2014)	intact:EBI-16093508|doi:10.1126/science.1243462|pubmed:24557838|imex:IM-24120	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:2364"(proximity)	psi-mi:"MI:0465"(Database of Interacting Proteins)	intact:EBI-16093607|dip:DIP-198648E|imex:IM-24120-5	intact-miscore:0.56
uniprotkb:Q778I9	uniprotkb:Q9H668	uniprotkb:Q778I9|intact:EBI-8716052	uniprotkb:Q5TCZ0|uniprotkb:D3DR99|ensembl:ENSP00000224950.3|ensembl:ENSP00000358779.1|ensembl:ENSP00000513621.1|ensembl:ENSP00000513622.1|ensembl:ENSP00000513623.1|ensembl:ENSP00000513657.1|ensembl:ENSP00000513658.1|ensembl:ENSP00000513664.1|intact:EBI-746930|uniprotkb:Q9H668	psi-mi:q778i9_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:C(gene name)|uniprotkb:HBVgp4(orf name)|uniprotkb:p21.5(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|MINT:HBc(author assigned name)	psi-mi:stn1_human(display_short)|psi-mi:CST complex subunit STN1(display_long)|uniprotkb:stn1(gene name)|uniprotkb:Suppressor of cdc thirteen homolog(gene name synonym)|uniprotkb:Oligonucleotide/oligosaccharide-binding fold-containing protein 1(gene name synonym)|uniprotkb:OBFC1(gene name synonym)|MINT:OBFC1(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Liu D. et al.(2013)	intact:EBI-8716032|pubmed:24036449|imex:IM-21421	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-8716047|imex:IM-21421-1	intact-miscore:0.35
uniprotkb:Q778I9	uniprotkb:P13987	uniprotkb:Q778I9|intact:EBI-8716052	uniprotkb:E9PR17|ensembl:ENSP00000340210.3|ensembl:ENSP00000379191.3|ensembl:ENSP00000403511.2|ensembl:ENSP00000404822.2|ensembl:ENSP00000410182.2|ensembl:ENSP00000432942.1|ensembl:ENSP00000494884.1|ensembl:ENSP00000498448.1|ensembl:ENSP00000498879.1|intact:EBI-297972|uniprotkb:P13987	psi-mi:q778i9_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:C(gene name)|uniprotkb:HBVgp4(orf name)|uniprotkb:p21.5(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|MINT:HBc(author assigned name)	psi-mi:cd59_human(display_short)|psi-mi:CD59 glycoprotein(display_long)|uniprotkb:CD59(gene name)|uniprotkb:MSK21(gene name synonym)|uniprotkb:MIN3(gene name synonym)|uniprotkb:MIN2(gene name synonym)|uniprotkb:MIN1(gene name synonym)|uniprotkb:MIC11(gene name synonym)|uniprotkb:1F5 antigen(gene name synonym)|uniprotkb:20 kDa homologous restriction factor(gene name synonym)|uniprotkb:Membrane inhibitor of reactive lysis(gene name synonym)|uniprotkb:MEM43 antigen(gene name synonym)|uniprotkb:Protectin(gene name synonym)|uniprotkb:MAC-inhibitory protein(gene name synonym)|uniprotkb:Membrane attack complex inhibition factor(gene name synonym)|MINT:Cd59(author assigned name)	psi-mi:"MI:0676"(tandem affinity purification)	Liu D. et al.(2013)	intact:EBI-8716032|pubmed:24036449|imex:IM-21421	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-8716047|imex:IM-21421-1	intact-miscore:0.54
uniprotkb:Q778I9	uniprotkb:P13987	uniprotkb:Q778I9|intact:EBI-8716052	uniprotkb:E9PR17|ensembl:ENSP00000340210.3|ensembl:ENSP00000379191.3|ensembl:ENSP00000403511.2|ensembl:ENSP00000404822.2|ensembl:ENSP00000410182.2|ensembl:ENSP00000432942.1|ensembl:ENSP00000494884.1|ensembl:ENSP00000498448.1|ensembl:ENSP00000498879.1|intact:EBI-297972|uniprotkb:P13987	psi-mi:q778i9_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:C(gene name)|uniprotkb:HBVgp4(orf name)|uniprotkb:p21.5(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|MINT:HBc(author assigned name)	psi-mi:cd59_human(display_short)|psi-mi:CD59 glycoprotein(display_long)|uniprotkb:CD59(gene name)|uniprotkb:MSK21(gene name synonym)|uniprotkb:MIN3(gene name synonym)|uniprotkb:MIN2(gene name synonym)|uniprotkb:MIN1(gene name synonym)|uniprotkb:MIC11(gene name synonym)|uniprotkb:1F5 antigen(gene name synonym)|uniprotkb:20 kDa homologous restriction factor(gene name synonym)|uniprotkb:Membrane inhibitor of reactive lysis(gene name synonym)|uniprotkb:MEM43 antigen(gene name synonym)|uniprotkb:Protectin(gene name synonym)|uniprotkb:MAC-inhibitory protein(gene name synonym)|uniprotkb:Membrane attack complex inhibition factor(gene name synonym)|MINT:Cd59(author assigned name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Liu D. et al.(2013)	intact:EBI-8716032|pubmed:24036449|imex:IM-21421	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-8716078|imex:IM-21421-2	intact-miscore:0.54
uniprotkb:Q778I9	uniprotkb:P13987	uniprotkb:Q778I9|intact:EBI-8716052	uniprotkb:E9PR17|ensembl:ENSP00000340210.3|ensembl:ENSP00000379191.3|ensembl:ENSP00000403511.2|ensembl:ENSP00000404822.2|ensembl:ENSP00000410182.2|ensembl:ENSP00000432942.1|ensembl:ENSP00000494884.1|ensembl:ENSP00000498448.1|ensembl:ENSP00000498879.1|intact:EBI-297972|uniprotkb:P13987	psi-mi:q778i9_hbv(display_short)|psi-mi:Capsid protein(display_long)|uniprotkb:C(gene name)|uniprotkb:HBVgp4(orf name)|uniprotkb:p21.5(gene name synonym)|uniprotkb:HBcAg(gene name synonym)|uniprotkb:Core protein(gene name synonym)|uniprotkb:Core antigen(gene name synonym)|MINT:HBc(author assigned name)	psi-mi:cd59_human(display_short)|psi-mi:CD59 glycoprotein(display_long)|uniprotkb:CD59(gene name)|uniprotkb:MSK21(gene name synonym)|uniprotkb:MIN3(gene name synonym)|uniprotkb:MIN2(gene name synonym)|uniprotkb:MIN1(gene name synonym)|uniprotkb:MIC11(gene name synonym)|uniprotkb:1F5 antigen(gene name synonym)|uniprotkb:20 kDa homologous restriction factor(gene name synonym)|uniprotkb:Membrane inhibitor of reactive lysis(gene name synonym)|uniprotkb:MEM43 antigen(gene name synonym)|uniprotkb:Protectin(gene name synonym)|uniprotkb:MAC-inhibitory protein(gene name synonym)|uniprotkb:Membrane attack complex inhibition factor(gene name synonym)|MINT:Cd59(author assigned name)	psi-mi:"MI:0006"(anti bait coimmunoprecipitation)	Liu D. et al.(2013)	intact:EBI-8716032|pubmed:24036449|imex:IM-21421	taxid:10407(hbv)|taxid:10407("Hepatitis B virus (HBV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-8716084|imex:IM-21421-3	intact-miscore:0.54
