hostUniprotID	hostGeneName	hostProteinName
Q06330	RBPJ	Recombining binding protein suppressor of hairless
Q92985-1	Irf7	Interferon regulatory factor 7
O75323	NIPSNAP2	Protein NipSnap homolog 2
Q15773	MLF2	Myeloid leukemia factor 2
Q9HAV7	GRPEL1	GrpE protein homolog 1, mitochondrial
O60812	HNRNPCL1	Heterogeneous nuclear ribonucleoprotein C-like 1
O95816	BAG2	BAG family molecular chaperone regulator 2
O60831	PRAF2	PRA1 family protein 2
Q9UI14	RABAC1	Prenylated Rab acceptor protein 1
O75953	DNAJB5	DnaJ homolog subfamily B member 5
Q14257	RCN2	Reticulocalbin-2
Q9BPW8	NIPSNAP1	Protein NipSnap homolog 1
P05165	PCCA	Propionyl-CoA carboxylase alpha chain, mitochondrial
Q7Z4N8	P4HA3	Prolyl 4-hydroxylase subunit alpha-3
Q86UA1	PRPF39	Pre-mRNA-processing factor 39
O00165	HAX1	HCLS1-associated protein X-1
P05166	PCCB	Propionyl-CoA carboxylase beta chain, mitochondrial
Q5W0B1	OBI1	ORC ubiquitin ligase 1
Q9Y305	ACOT9	Acyl-coenzyme A thioesterase 9, mitochondrial
Q16527	CSRP2	Cysteine and glycine-rich protein 2
Q92522	H1-10	Histone H1.10
Q13151	HNRNPA0	Heterogeneous nuclear ribonucleoprotein A0
Q3ZCQ8	TIMM50	Mitochondrial import inner membrane translocase subunit TIM50
O76031	clpX	ATP-dependent clpX-like chaperone, mitochondrial
Q9ULX6	AKAP8L	A-kinase anchor protein 8-like
Q8TED1	GPX8	Probable glutathione peroxidase 8
Q9P0P0	RNF181	E3 ubiquitin-protein ligase RNF181
Q8N726	CDKN2A	Tumor suppressor ARF
Q9UDY4	DNAJB4	DnaJ homolog subfamily B member 4
Q9Y2G8	DNAJC16	DnaJ homolog subfamily C member 16
Q9NXH8	TOR4A	Torsin-4A
Q9UJ70	NAGK	N-acetyl-D-glucosamine kinase
P35080	PFN2	Profilin-2
O75688	PPM1B	Protein phosphatase 1B
Q92616	GCN1	Stalled ribosome sensor GCN1
P12236	SLC25A6	ADP/ATP translocase 3
Q99729	HNRNPAB	Heterogeneous nuclear ribonucleoprotein A/B
Q15293	RCN1	Reticulocalbin-1
Q8NC54	KCT2	Keratinocyte-associated transmembrane protein 2
Q9UL15	BAG5	BAG family molecular chaperone regulator 5
Q9UJY1	HSPB8	Heat shock protein beta-8
P28300	LOX	Protein-lysine 6-oxidase
P62699	Ypel5	Protein yippee-like 5
P47756	CAPZB	F-actin-capping protein subunit beta
O00483	NDUFA4	Cytochrome c oxidase subunit NDUFA4
Q9Y5M8	SRPRB	Signal recognition particle receptor subunit beta
Q15628	TRADD	Tumor necrosis factor receptor type 1-associated DEATH domain protein
P40938	RFC3	Replication factor C subunit 3
P47897	QARS1	Glutamine--tRNA ligase
P26599	PTBP1	Polypyrimidine tract-binding protein 1
Q04837	SSBP1	Single-stranded DNA-binding protein, mitochondrial
O75190	DNAJB6	DnaJ homolog subfamily B member 6
O15460	P4HA2	Prolyl 4-hydroxylase subunit alpha-2
O43592	XPOT	Exportin-T
Q8IZ07	ANKRD13A	Ankyrin repeat domain-containing protein 13A
Q8NBM4	UBAC2	Ubiquitin-associated domain-containing protein 2
Q9BQB6	VKORC1	Vitamin K epoxide reductase complex subunit 1
Q9Y6N5	SQOR	"""Sulfide:quinone oxidoreductase, mitochondrial"""
Q9NR12	PDLIM7	PDZ and LIM domain protein 7
Q15629	TRAM1	Translocating chain-associated membrane protein 1
P56524	HDAC4	Histone deacetylase 4
Q15326	ZMYND11	Zinc finger MYND domain-containing protein 11
P00367	GLUD1	Glutamate dehydrogenase 1, mitochondrial
Q07955	SRSF1	Serine/arginine-rich splicing factor 1
P08107	HSPA1A	Heat shock 70 kDa protein 1A/1B
P08579	SNRPB2	U2 small nuclear ribonucleoprotein B''
Q01105	SET	Protein SET
P52907	CAPZA1	F-actin-capping protein subunit alpha-1
O43390	HNRNPR	Heterogeneous nuclear ribonucleoprotein R
Q9H5V8	CDCP1	CUB domain-containing protein 1
Q15012	LAPTM4A	Lysosomal-associated transmembrane protein 4A
O15260	SURF4	Surfeit locus protein 4
Q8TF42	UBASH3B	Ubiquitin-associated and SH3 domain-containing protein B
P27352	CBLIF	Cobalamin binding intrinsic factor
P50402	EMD	Emerin
Q9UKE5	TNIK	TRAF2 and NCK-interacting protein kinase
Q9NYJ8	TAB2	TGF-beta-activated kinase 1 and MAP3K7-binding protein 2
P82650	MRPS22	Small ribosomal subunit protein mS22
Q9Y6C9	MTCH2	Mitochondrial carrier homolog 2
Q6UB35	MTHFD1L	Monofunctional C1-tetrahydrofolate synthase, mitochondrial
Q9Y676	MRPS18B	Small ribosomal subunit protein mS40
P08962	CD63	CD63 antigen
P30050	RPL12	Large ribosomal subunit protein uL11
P25685	DNAJB1	DnaJ homolog subfamily B member 1
P14868	DARS1	Aspartate--tRNA ligase, cytoplasmic
P27635	RPL10	Large ribosomal subunit protein uL16
Q8NC51	SERBP1	SERPINE1 mRNA-binding protein 1
Q92841	DDX17	Probable ATP-dependent RNA helicase DDX17
Q14103	HNRNPD	Heterogeneous nuclear ribonucleoprotein D0
O76021	RSL1D1	Ribosomal L1 domain-containing protein 1
Q9Y5V3	MAGED1	Melanoma-associated antigen D1
O60494	CUBN	Cubilin
Q96CS3	FAF2	FAS-associated factor 2
P61289	PSME3	Proteasome activator complex subunit 3
O95456	PSMG1	Proteasome assembly chaperone 1
Q9H0E2	TOLLIP	Toll-interacting protein
Q5JTV8	TOR1AIP1	Torsin-1A-interacting protein 1
O95817	BAG3	BAG family molecular chaperone regulator 3
P13674	P4HA1	Prolyl 4-hydroxylase subunit alpha-1
P51911	CNN1	Calponin-1
Q00341	HDLBP	Vigilin
Q8IY17	PNPLA6	Patatin-like phospholipase domain-containing protein 6
Q96B97	SH3KBP1	SH3 domain-containing kinase-binding protein 1
Q9H270	VPS11	Vacuolar protein sorting-associated protein 11 homolog
P61981	YWHAG	14-3-3 protein gamma
P52294	KPNA1	Importin subunit alpha-5
Q13416	ORC2	Origin recognition complex subunit 2
P35869	Ahr	Aryl hydrocarbon receptor
Q15366	PCBP2	"""Poly(rC)-binding protein 2"""
Q07666	KHDRBS1	KH domain-containing, RNA-binding, signal transduction-associated protein 1
P55735	SEC13	Protein SEC13 homolog
Q13576	IQGAP2	Ras GTPase-activating-like protein IQGAP2
P30530	AXL	Tyrosine-protein kinase receptor UFO
Q06323	PSME1	Proteasome activator complex subunit 1
O60493	SNX3	Sorting nexin-3
Q9H0M0	WWP1	NEDD4-like E3 ubiquitin-protein ligase WWP1
Q9Y4F1	FARP1	FERM, ARHGEF and pleckstrin domain-containing protein 1
Q9Y6M1	IGF2BP2	Insulin-like growth factor 2 mRNA-binding protein 2
O60684	KPNA6	Importin subunit alpha-7
