# ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P29846	uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)|MINT:NS3(author assigned name)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Pan RY. et al.(2010)	intact:EBI-7640932|mint:d-09-01943|doi:10.1016/j.febslet.2009.11.090|mint:MINT-7306462|mint:MINT-7306460|pubmed:19958771|imex:IM-15565	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-7640950|mint:MINT-7306465|imex:IM-15565-1	intact-miscore:0.4
uniprotkb:O43889-2	uniprotkb:P29846	ensembl:ENSP00000342136.2|intact:EBI-625022|uniprotkb:O43889-2	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:o43889-2(display_short)|psi-mi:Cyclic AMP-responsive element-binding protein 3(display_long)|uniprotkb:LZIP(gene name synonym)|uniprotkb:Luman(gene name synonym)|uniprotkb:Transcription factor LZIP-alpha(gene name synonym)|uniprotkb:LZIP(isoform synonym)|uniprotkb:Leucine zipper protein(gene name synonym)|uniprotkb:CREB3(gene name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:"MI:0019"(coimmunoprecipitation)	Jin DY. et al.(2000)	intact:EBI-1992296|mint:MINT-6594436|pubmed:10675342|imex:IM-19116	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-909690|imex:IM-19116-3	intact-miscore:0.59
uniprotkb:O43889-2	uniprotkb:P29846	ensembl:ENSP00000342136.2|intact:EBI-625022|uniprotkb:O43889-2	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:o43889-2(display_short)|psi-mi:Cyclic AMP-responsive element-binding protein 3(display_long)|uniprotkb:LZIP(gene name synonym)|uniprotkb:Luman(gene name synonym)|uniprotkb:Transcription factor LZIP-alpha(gene name synonym)|uniprotkb:LZIP(isoform synonym)|uniprotkb:Leucine zipper protein(gene name synonym)|uniprotkb:CREB3(gene name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:"MI:0019"(coimmunoprecipitation)	Jin DY. et al.(2000)	intact:EBI-1992296|mint:MINT-6594436|pubmed:10675342|imex:IM-19116	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-909741|imex:IM-19116-4	intact-miscore:0.59
uniprotkb:O43889-2	uniprotkb:P29846	ensembl:ENSP00000342136.2|intact:EBI-625022|uniprotkb:O43889-2	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:o43889-2(display_short)|psi-mi:Cyclic AMP-responsive element-binding protein 3(display_long)|uniprotkb:LZIP(gene name synonym)|uniprotkb:Luman(gene name synonym)|uniprotkb:Transcription factor LZIP-alpha(gene name synonym)|uniprotkb:LZIP(isoform synonym)|uniprotkb:Leucine zipper protein(gene name synonym)|uniprotkb:CREB3(gene name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:"MI:0019"(coimmunoprecipitation)	Jin DY. et al.(2000)	intact:EBI-1992296|mint:MINT-6594436|pubmed:10675342|imex:IM-19116	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-909781|imex:IM-19116-5	intact-miscore:0.59
uniprotkb:O43889-2	uniprotkb:P29846	ensembl:ENSP00000342136.2|intact:EBI-625022|uniprotkb:O43889-2	uniprotkb:A7YCU9|intact:EBI-909718|uniprotkb:P29846	psi-mi:o43889-2(display_short)|psi-mi:Cyclic AMP-responsive element-binding protein 3(display_long)|uniprotkb:LZIP(gene name synonym)|uniprotkb:Luman(gene name synonym)|uniprotkb:Transcription factor LZIP-alpha(gene name synonym)|uniprotkb:LZIP(isoform synonym)|uniprotkb:Leucine zipper protein(gene name synonym)|uniprotkb:CREB3(gene name)	psi-mi:polg_hcvtw(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:"MI:0019"(coimmunoprecipitation)	Jin DY. et al.(2000)	intact:EBI-1992296|mint:MINT-6594436|pubmed:10675342|imex:IM-19116	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:31645(hcvtw)|taxid:31645("Hepatitis C virus genotype 1b (isolate Taiwan) (HCV)")	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-909788|imex:IM-19116-6	intact-miscore:0.59
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WXG1	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WVI4|ensembl:ENSP00000371471.3|ensembl:ENSP00000506390.1|intact:EBI-12736320|uniprotkb:Q8WXG1	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:rsad2_human(display_short)|psi-mi:S-adenosylmethionine-dependent nucleotide dehydratase RSAD2(display_long)|uniprotkb:RSAD2(gene name)|uniprotkb:Radical S-adenosyl methionine domain-containing protein 2(gene name synonym)|uniprotkb:Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible(gene name synonym)|uniprotkb:Cytomegalovirus-induced gene 5 protein(gene name synonym)|uniprotkb:CIG5(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738366|imex:IM-25733-9	intact-miscore:0.43
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WXG1	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WVI4|ensembl:ENSP00000371471.3|ensembl:ENSP00000506390.1|intact:EBI-12736320|uniprotkb:Q8WXG1	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:rsad2_human(display_short)|psi-mi:S-adenosylmethionine-dependent nucleotide dehydratase RSAD2(display_long)|uniprotkb:RSAD2(gene name)|uniprotkb:Radical S-adenosyl methionine domain-containing protein 2(gene name synonym)|uniprotkb:Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible(gene name synonym)|uniprotkb:Cytomegalovirus-induced gene 5 protein(gene name synonym)|uniprotkb:CIG5(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738417|imex:IM-25733-12	intact-miscore:0.43
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WXG1	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WVI4|ensembl:ENSP00000371471.3|ensembl:ENSP00000506390.1|intact:EBI-12736320|uniprotkb:Q8WXG1	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:rsad2_human(display_short)|psi-mi:S-adenosylmethionine-dependent nucleotide dehydratase RSAD2(display_long)|uniprotkb:RSAD2(gene name)|uniprotkb:Radical S-adenosyl methionine domain-containing protein 2(gene name synonym)|uniprotkb:Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible(gene name synonym)|uniprotkb:Cytomegalovirus-induced gene 5 protein(gene name synonym)|uniprotkb:CIG5(gene name synonym)	psi-mi:"MI:0663"(confocal microscopy)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738452|imex:IM-25733-14	intact-miscore:0.43
uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WXG1	intact:EBI-6863748|uniprotkb:Q9WMX2-PRO_0000037551	uniprotkb:Q8WVI4|ensembl:ENSP00000371471.3|ensembl:ENSP00000506390.1|intact:EBI-12736320|uniprotkb:Q8WXG1	psi-mi:q9wmx2-pro_0000037551(display_short)|psi-mi:Non-structural protein 5A(display_long)	psi-mi:rsad2_human(display_short)|psi-mi:S-adenosylmethionine-dependent nucleotide dehydratase RSAD2(display_long)|uniprotkb:RSAD2(gene name)|uniprotkb:Radical S-adenosyl methionine domain-containing protein 2(gene name synonym)|uniprotkb:Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible(gene name synonym)|uniprotkb:Cytomegalovirus-induced gene 5 protein(gene name synonym)|uniprotkb:CIG5(gene name synonym)	psi-mi:"MI:0663"(confocal microscopy)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0403"(colocalization)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738470|imex:IM-25733-15	intact-miscore:0.43
uniprotkb:Q9WMX2-PRO_0000037552	uniprotkb:Q8WXG1	intact:EBI-9005440|uniprotkb:Q9WMX2-PRO_0000037552	uniprotkb:Q8WVI4|ensembl:ENSP00000371471.3|ensembl:ENSP00000506390.1|intact:EBI-12736320|uniprotkb:Q8WXG1	psi-mi:q9wmx2-pro_0000037552(display_short)|psi-mi:RNA-directed RNA polymerase(display_long)	psi-mi:rsad2_human(display_short)|psi-mi:S-adenosylmethionine-dependent nucleotide dehydratase RSAD2(display_long)|uniprotkb:RSAD2(gene name)|uniprotkb:Radical S-adenosyl methionine domain-containing protein 2(gene name synonym)|uniprotkb:Virus inhibitory protein, endoplasmic reticulum-associated, interferon-inducible(gene name synonym)|uniprotkb:Cytomegalovirus-induced gene 5 protein(gene name synonym)|uniprotkb:CIG5(gene name synonym)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Wang S. et al.(2012)	intact:EBI-12687585|pubmed:21957124|imex:IM-25733	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0469"(European Bioinformatics Institute)	intact:EBI-12738487|imex:IM-25733-16	intact-miscore:0.35
uniprotkb:Q9WMX2	uniprotkb:C9JDS9	intact:EBI-710918|uniprotkb:Q9WMX2	uniprotkb:C9JDS9|intact:EBI-11513391|ensembl:ENSP00000396212.1	psi-mi:polg_hcvco(display_short)|psi-mi:Genome polyprotein(display_long)	psi-mi:c9jds9_human(display_short)|uniprotkb:TUBA4A(gene name)	psi-mi:"MI:0096"(pull down)	Germain MA. et al.(2014)	intact:EBI-11513168|pubmed:24169621|imex:IM-26663	taxid:333284(hcvco)|taxid:333284("Hepatitis C virus genotype 1b (isolate Con1) (HCV)")	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0914"(association)	psi-mi:"MI:0471"(MINT, Dpt of Biology, University of Rome Tor Vergata)	intact:EBI-11513409|imex:IM-26663-21	intact-miscore:0.35
